ref,alias_refs,doc_type_code,name,category,grp,obligation,mode,sections,stream,archetype,silver_storage,refresh_cadence,source_system,notes,field_contract,table_name
A4.02,,FOREIGN_CUSTOMER_SERVICE_CONTRACT,Service contracts with foreign customers,A,A4,CONDITIONAL,BOTH,A8,B,8,HYBRID,ONE_TIME,CLIENT,Five-condition test under s.2(6) IGST Act.,,
A4.03,,OVERSEAS_VENDOR_CONTRACT,Overseas vendor contracts,A,A4,CONDITIONAL,BOTH,B5,B,8,HYBRID,ONE_TIME,CLIENT,Import of services RCM identification.,,
A4.04,,JOBWORK_AGREEMENT,Job work agreement,A,A4,CONDITIONAL,BOTH,"A5,A1",B,8,HYBRID,ONE_TIME,CLIENT,Distinguishes job work from contract manufacturing.,,
A4.05,,LONG_DURATION_SERVICE_CONTRACT,Long-duration service contracts,A,A4,CONDITIONAL,BOTH,A5,B,8,HYBRID,ONE_TIME,CLIENT,Time of supply on milestone and POCM revenue recognition.,,
A4.06,,TRANSFER_PRICING_DOCUMENTATION,Transfer pricing documentation,A,A4,CONDITIONAL,BOTH,A6,B,8,HYBRID,ONE_TIME,CLIENT_TAX_ADVISORS,Most defensible open market value basis under s.15(4) Rule 28.,,
A4.07,,ADVANCE_PRICING_AGREEMENT,Advance Pricing Agreement,A,A4,CONDITIONAL,BOTH,A6,B,3,HYBRID,ONE_TIME,CLIENT_CBDT,Higher evidentiary value than TP study — government-agreed price.,,
A4.08,,GTA_INVOICE_CONSIGNMENT_NOTE,GTA invoices and consignment notes,A,A4,CONDITIONAL,BOTH,B5,B,1,HYBRID,CONTINUOUS,CLIENT,Consignment note is the trigger document for GTA RCM.,"direction=INWARD;counterparty=OPTIONAL;doc=consignment_note_number:text!,consignment_note_date:date!,rcm_applicable:text!",
A4.09,,SECURITY_AGENCY_CONTRACT,Security agency contracts,A,A4,CONDITIONAL,BOTH,B5,B,8,HYBRID,ONE_TIME,CLIENT,Supplier entity type determines forward charge vs RCM.,,
A5.01,,LUT,Letter of Undertaking — ARN GSTIN financial year,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_GSTN,ADR-006 gap. The instrument all export zero-rating rests on. Must be valid at each export invoice date.,,
A5.02,,IEC_CERTIFICATE,Importer Exporter Code certificate,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DGFT,Must be linked to the exporting GSTIN.,,
A5.03,,SEZ_LETTER_OF_APPROVAL,SEZ unit Letter of Approval,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_SEZ_AUTHORITY,LoA validity at supply date is a hard condition for zero-rating.,,
A5.04,,SEZ_LETTER_OF_PERMISSION,SEZ unit Letter of Permission — IT/ITES,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DEV_COMMISSIONER,Same function as LoA for service SEZ units.,,
A5.05,,SEZ_OPERATIONS_COMMENCEMENT_CERT,SEZ Operations Commencement Certificate,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DEV_COMMISSIONER,Entitlement begins from commencement date not LoA date.,,
A5.06,,SEZ_NOTIFICATION,SEZ Notification — boundaries and approved units,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_MIN_COMMERCE,Establishes the recipient premises are within a notified SEZ.,,
A5.07,,SEZ_ANNUAL_PERFORMANCE_REPORT,SEZ Annual Performance Report,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,PERIODIC,CLIENT_DEV_COMMISSIONER,Rejected APR loses zero-rated entitlement from suspension date.,,
A5.08,,EOU_LETTER_OF_PERMISSION,EOU Letter of Permission with NFE obligation,A,A5,CONDITIONAL,BOTH,"A8,A10",B,3,HYBRID,ONE_TIME,CLIENT_DEV_COMMISSIONER,NFE obligation status determines continued EOU eligibility.,,
A5.09,,STPI_REGISTRATION,STPI registration letter,A,A5,CONDITIONAL,BOTH,"A8,A10",B,3,HYBRID,ONE_TIME,CLIENT_STPI,Required for suppliers to STPI units claiming zero-rated status.,,
A5.10,,EOU_ANNUAL_COMPLIANCE_REPORT,EOU Annual Compliance Report,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,PERIODIC,CLIENT_DEV_COMMISSIONER,Non-compliance can cause retrospective demand on zero-rated supplies.,,
A5.11,,EPCG_LICENCE,EPCG Licence,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DGFT,Deemed export claim under Notification 48/2017. Licence number must appear on invoice.,,
A5.12,,ADVANCE_AUTHORISATION,Advance Authorisation licence,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DGFT,Permitted inputs list must cover the goods supplied.,,
A5.13,,EODC,Export Obligation Discharge Certificate,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DGFT,Without EODC the deemed export entitlement remains contingent.,,
A5.14,,FIRC_BRC_REGISTER,FIRC / BRC register — realisation per export invoice,A,A5,CONDITIONAL,BOTH,A8,B,2,STRUCTURED,PERIODIC,CLIENT_AD_BANK,12-month realisation deadline monitoring. Register form; instruments are D2.01/D2.02.,,
A5.15,,SOFTEX_FORM_APPROVAL,SOFTEX form approval,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_STPI_RBI,STPI equivalent of shipping bill for software exports.,,
A5.16,,CUSTOMS_BONDED_WAREHOUSE_LICENCE,Customs Bonded Warehouse licence,A,A5,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Zero-rating to EOU is anchored to the bonded premises.,,
A5.17,,ITC_04_ACKNOWLEDGEMENT,ITC-04 acknowledgements,A,A5,CONDITIONAL,BOTH,"A5,A1",B,5,HYBRID,PERIODIC,CLIENT_GSTN,Defence against deemed supply on job-work deadline expiry.,,
A6.01,,BILL_OF_ENTRY,Bill of Entry — assessed and out-of-charge copy,A,A6,CONDITIONAL,BOTH,B1,B,1,HYBRID,CONTINUOUS,CLIENT_ICEGATE,Assessed BoE establishes customs value and HSN for IGST ITC. See also B5.03.,"direction=INWARD;counterparty=FOREIGN;doc=be_number:text!,be_date:date!,port_code:text!;line=bcd_amount:money,social_welfare_surcharge:money",
A6.02,,CUSTOMS_CLASSIFICATION_ORDER,Customs Tariff Classification / speaking order,A,A6,CONDITIONAL,BOTH,"A1,B1",B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Entity-specific ruling OVERRIDES the general HSN master for this taxpayer.,,
A6.03,,CUSTOMS_DUTY_EXEMPTION_CERTIFICATE,Customs Duty Exemption Certificate,A,A6,CONDITIONAL,BOTH,B1,B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Notification applicability and entity entitlement both required.,,
A6.04,,B17_BOND,B-17 Bond — EOU customs bond,A,A6,CONDITIONAL,BOTH,"A8,B1",B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Breach can retrospectively affect zero-rating of related supplies.,,
A6.05,,BLUT,Bond with Letter of Undertaking — customs,A,A6,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Export entitlement instrument for customs.,,
A6.06,,AEO_CERTIFICATE,Authorised Economic Operator certificate,A,A6,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_CUSTOMS,Certificate validity must be current.,,
A7.01,,RBI_DELAYED_REALISATION_APPROVAL,RBI approval for delayed export realisation,A,A7,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_RBI,Without it IGST becomes payable with interest from export date.,,
A7.02,,RBI_COMPOUNDING_ORDER,RBI Compounding Order,A,A7,CONDITIONAL,FORENSIC,A8,B,6,HYBRID,PERIODIC,CLIENT_RBI,Establishes the settled position on a FEMA violation.,,
A7.03,,ODI_APPROVAL,Overseas Direct Investment approval,A,A7,CONDITIONAL,BOTH,"A6,B5",B,3,HYBRID,ONE_TIME,CLIENT_RBI,Establishes related party relationship with overseas subsidiary.,,
A7.04,,FORM_15CA_15CB,Form 15CA / 15CB remittance certificates,A,A7,CONDITIONAL,BOTH,B5,B,2,HYBRID,CONTINUOUS,CLIENT_CA,15CB classification determines RCM applicability and treaty position.,,
A7.05,,SCOMET_LICENCE,SCOMET licence,A,A7,CONDITIONAL,BOTH,A8,B,3,HYBRID,ONE_TIME,CLIENT_DGFT,Required where the taxpayer exports SCOMET items.,,
B1.01,,GSTR_1,GSTR-1 — all periods all tables,B,B1,MANDATORY,BOTH,"A1,A2,A7,A8,A9,A10",A,5,STRUCTURED,PERIODIC,GSTN_API,Government record of declared outward supply. Raw API response retained in Bronze per ADR-002.,,
B1.02,,GSTR_1_ARN,GSTR-1 ARN and filing date,B,B1,MANDATORY,BOTH,"A1,A6",A,5,STRUCTURED,PERIODIC,GSTN_API,Delayed filings trigger interest computation from due date.,,
B1.03,,GSTR_2B,GSTR-2B — auto-populated ITC statement,B,B1,MANDATORY,BOTH,"B1,B2,B5,B6,B8",A,5,STRUCTURED,PERIODIC,GSTN_API,Authoritative ITC availability. Cap on claimable ITC post s.16(2)(aa).,,
B1.04,,GSTR_2B_AMENDMENT_HISTORY,GSTR-2B amendment history,B,B1,MANDATORY,BOTH,"B1,B8",A,5,STRUCTURED,PERIODIC,GSTN_API,Supplier amendments affect ITC already claimed in prior periods.,,
B1.05,,GSTR_3B,GSTR-3B — all periods,B,B1,MANDATORY,BOTH,"A1,A10,B1,B2,B3,B4,B5,B6,B7",A,5,STRUCTURED,PERIODIC,GSTN_API,What was declared and paid.,,
B1.06,,GSTR_9,GSTR-9 Annual Return,B,B1,MANDATORY,BOTH,"A1,A2,A10,B1,B4",A,5,STRUCTURED,PERIODIC,GSTN_API,Formal reconciliation target for turnover and ITC.,,
B1.07,,GSTR_9C,GSTR-9C Reconciliation Statement,B,B1,MANDATORY,BOTH,"A2,A3",A,5,STRUCTURED,PERIODIC,GSTN_API,Platform computes the bridge independently and compares.,,
B1.08,,GSTR_2A,GSTR-2A — historical pre-2020,B,B1,CONDITIONAL,FORENSIC,B1,A,5,STRUCTURED,PERIODIC,GSTN_API,Forensic engagements covering pre-GSTR-2B periods.,,
B1.09,,GSTR_6,GSTR-6 / GSTR-6A — ISD return,B,B1,CONDITIONAL,BOTH,B6,A,5,STRUCTURED,PERIODIC,GSTN_API,Required for clients operating as ISD.,,
B1.10,,GSTR_7,GSTR-7 — TDS by specified persons,B,B1,CONDITIONAL,BOTH,A1,A,5,STRUCTURED,PERIODIC,GSTN_API,TDS deducted reduces net tax payable.,,
B1.11,,GSTR_8,GSTR-8 — TCS by e-commerce operators,B,B1,CONDITIONAL,BOTH,A9,A,5,STRUCTURED,PERIODIC,GSTN_API,Primary check for marketplace seller TCS reconciliation.,,
B2.01,,GST_REGISTRATION_CERTIFICATE_SELF,GST Registration Certificate REG-06 — own GSTINs,B,B2,MANDATORY,BOTH,"A1,A6,A7,B6",A,7,STRUCTURED,ONE_TIME,GSTN_PORTAL,Foundational identity document. Registration type determines ITC eligibility.,,
B2.02,,GST_REGISTRATION_CERTIFICATE_CUSTOMER,GST Registration Certificate — key customers,B,B2,MANDATORY,BOTH,"A1,A6,B1",A,7,STRUCTURED,PERIODIC,GSTN_API,Supply to composition dealer cannot carry ITC to buyer.,,
B2.03,,GST_REGISTRATION_CERTIFICATE_SUPPLIER,GST Registration Certificate — key suppliers,B,B2,MANDATORY,BOTH,"B1,B3",A,7,STRUCTURED,PERIODIC,GSTN_API,Cancellation at invoice date voids ITC.,,
B2.04,,GST_REGISTRATION_AMENDMENT_HISTORY,GST Registration amendment history,B,B2,CONDITIONAL,BOTH,"A1,A7",A,5,STRUCTURED,PERIODIC,GSTN_PORTAL,Registration type changes affect ITC eligibility.,,
B2.05,,COMPOSITION_SCHEME_RECORDS,Composition opt-in CMP-01 and opt-out CMP-04,B,B2,CONDITIONAL,BOTH,"A1,B1,B3",A,5,STRUCTURED,PERIODIC,GSTN_PORTAL,During composition periods the taxpayer cannot issue tax invoices.,,
B2.06,,ISD_REGISTRATION_CERTIFICATE,ISD Registration Certificate,B,B2,CONDITIONAL,BOTH,B6,A,3,HYBRID,ONE_TIME,GSTN_PORTAL,Without ISD registration branch ITC claims via cross-charge are invalid.,,
B2.07,,GSTIN_STATUS_AT_DATE,GSTIN active/cancelled/suspended status at date,B,B2,MANDATORY,BOTH,"A1,B1",A,7,STRUCTURED,PERIODIC,GSTN_API,Active status at date of supply is the test — not current status.,,
B3.01,,OPEN_SCN_REGISTER,Open Show Cause Notice register,B,B3,MANDATORY,BOTH,ALL,A,6,HYBRID,PERIODIC,GSTN_PORTAL,ADR-006 gap. Platform must not re-flag an issue already subject to an SCN.,,
B3.02,,DRC_01B_NOTICE,DRC-01B notices — GSTR-1 vs 3B mismatch,B,B3,CONDITIONAL,BOTH,A1,A,6,HYBRID,PERIODIC,GSTN_PORTAL,System-generated notices. Must be reconciled and responded to.,,
B3.03,,DRC_03_VOLUNTARY_PAYMENT,DRC-03 voluntary payment records,B,B3,CONDITIONAL,BOTH,ALL,A,6,STRUCTURED,PERIODIC,GSTN_PORTAL,ADR-006 gap. Critical in Forensic Mode to avoid double-counting payments already made.,,
B3.04,D5.07,AMNESTY_SETTLEMENT_ORDER,Amnesty scheme participation certificate / settlement order,B,B3,CONDITIONAL,FORENSIC,ALL,A,6,HYBRID,PERIODIC,GSTN_PORTAL,DUPLICATE — same document as D5.07. Platform must not re-raise settled issues.,,
B3.05,D5.06,COURT_STAY_ORDER,Court order / stay order specific to the taxpayer,B,B3,CONDITIONAL,BOTH,ALL,C,6,HYBRID,PERIODIC,COURT_REGISTRY,DUPLICATE — same document as D5.06. Stayed demands excluded from open anomaly count.,,
B3.06,,ADJUDICATION_HEARING_ORDER,Personal hearing and adjudication orders,B,B3,CONDITIONAL,FORENSIC,ALL,A,6,HYBRID,PERIODIC,GSTN_PORTAL,Establishes the current stage of proceedings.,,
B3.07,,REFUND_APPLICATION_RFD_01,Refund applications RFD-01 and status,B,B3,CONDITIONAL,BOTH,A8,A,5,STRUCTURED,PERIODIC,GSTN_PORTAL,60-day processing deadline monitoring.,,
B4.01,,IRN_IRP_REGISTER,IRN / IRP register,B,B4,CONDITIONAL,BOTH,A1,A,1,STRUCTURED,CONTINUOUS,IRP_API,IRP timestamp is the authoritative invoice date.,"direction=OUTWARD;counterparty=OPTIONAL;doc=irn:hash64!,ack_number:text!,ack_date:date!",
B4.02,,EWAY_BILL_OUTWARD_REGISTER,E-Way Bill outward register,B,B4,MANDATORY,BOTH,A1,A,1,STRUCTURED,CONTINUOUS,EWB_PORTAL_API,Three-way match with invoice and GSTR-1.,"direction=OUTWARD;counterparty=OPTIONAL;doc=ewb_number:text!,ewb_date:date!,transport_mode:text,vehicle_number:text",
B4.03,,EWB_THRESHOLD_HISTORY,E-Way Bill threshold history,B,B4,MANDATORY,BOTH,A1,CORPUS,NONE,NONE,,INAFIN_CORPUS,OUT OF SCOPE — platform reference data not tenant data. Belongs in inafin-gst-corpus. Bitemporal.,,
B4.04,,EINVOICE_THRESHOLD_HISTORY,E-invoice threshold history,B,B4,MANDATORY,BOTH,A1,CORPUS,NONE,NONE,,INAFIN_CORPUS,OUT OF SCOPE — platform reference data not tenant data. Belongs in inafin-gst-corpus. Bitemporal.,,
B5.01,,ICEGATE_SHIPPING_BILL,ICEGATE shipping bill data,B,B5,CONDITIONAL,BOTH,A8,A,1,STRUCTURED,CONTINUOUS,ICEGATE_API,Three-way match with sales invoice and GSTR-1 Table 6A.,"direction=OUTWARD;counterparty=FOREIGN;doc=shipping_bill_number:text!,shipping_bill_date:date!,port_code:text!,export_scheme:text",
B5.02,,ICEGATE_EGM_STATUS,ICEGATE EGM status per shipping bill,B,B5,CONDITIONAL,BOTH,A8,A,5,STRUCTURED,CONTINUOUS,ICEGATE_API,Refund cannot be processed until EGM is filed by the shipping line.,,
B5.03,,ICEGATE_BILL_OF_ENTRY,Bill of Entry data from ICEGATE,B,B5,CONDITIONAL,BOTH,B1,A,1,STRUCTURED,CONTINUOUS,ICEGATE_API,Separate from GSTR-2B — flows from ICEGATE not supplier GSTR-1. See also A6.01.,"direction=INWARD;counterparty=FOREIGN;doc=be_number:text!,be_date:date!,port_code:text!;line=bcd_amount:money,social_welfare_surcharge:money",
B6.01,,DGFT_EBRC,DGFT eBRC,B,B6,CONDITIONAL,BOTH,A8,A,2,STRUCTURED,CONTINUOUS,DGFT_PORTAL,Government-authenticated. Distinct from bank-issued FIRC (D2.01).,,
B6.02,,DGFT_IEC_REGISTRY,IEC registry — number linked GSTIN validity,B,B6,CONDITIONAL,BOTH,A8,A,3,STRUCTURED,PERIODIC,DGFT_PORTAL,IEC-GSTIN mismatch blocks refund processing.,,
B6.03,,DGFT_EXPORT_OBLIGATION_STATUS,Export obligation status per EPCG/AA licence,B,B6,CONDITIONAL,BOTH,A8,A,3,STRUCTURED,PERIODIC,DGFT_PORTAL,Defaulted obligation retroactively affects deemed export claims.,,
D1.01,,AMAZON_MTR,Amazon Monthly Tax Report,D,D1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,AMAZON_SELLER_CENTRAL,Canonical row for A1.20 alias. Primary source for Amazon seller GSTR-1 preparation.,,platform_settlement_report
